Year,Movie,Song,GEM!,Singer(s),Music Director(s),Lyrics
1964,Door Gagan Ki Chhaon Mein,Aa chal ke tujhe,Picture,Kishore,Kishore Kumar,Kishore Kumar
1964,Door Gagan Ki Chhaon Mein,Jin raaton ki bhor nahin hai,,Kishore,Kishore Kumar,Shailendra
1964,Door Gagan Ki Chhaon Mein,Khushi do ghadi ki,,Kishore,Kishore Kumar,Shailendra
1964,Door Gagan Ki Chhaon Mein,Koi lauta de mere,Picture,Kishore,Kishore Kumar,Shailendra
1964,Ganga Ki Lahren,Chhedo na meri zulfen,Picture,"Kishore, Lata",Chitragupt,Majrooh Sultanpuri
1964,Ganga Ki Lahren,Machalti hui hawa mein,Picture,"Kishore, Lata",Chitragupt,Majrooh Sultanpuri
1964,Mr. X in Bombay,khoobsoorat haseena,,"Kishore, Lata",Laxmikant Pyarelal,Anand Bakshi
1964,Mr. X in Bombay,Mere mehboob qayaamat hogi,Picture,Kishore,Laxmikant Pyarelal,Anand Bakshi
1964,Mr. X in Bombay,Mere mehboob qayaamat hogi (Part 2),,Kishore,Laxmikant Pyarelal,Anand Bakshi
1965,Bhoot Bangla,Jaago sone waalon,,Kishore,R D Burman,Hasrat Jaipuri
1965,Guide,Gaata rahe mera dil,Picture,"Kishore, Lata",S D Burman,Shailendra
1965,Hum Sab Ustad Hain,Ajnabee tum jaane pehchaane se (M),Picture,Kishore,Laxmikant Pyarelal,Asad Bhopali
1965,Hum Sab Ustad Hain,Pyaar baant-te chalo,,Kishore,Laxmikant Pyarelal,Asad Bhopali
1965,Sheeman Funtoosh,Sultaana sultaana tu na ghabraana,,"Kishore, Lata",Laxmikant Pyarelal,Anand Bakshi
1965,Shreeman Funtoosh,Yeh dard bhara afsaana,,Kishore,Laxmikant Pyarelal,Anand Bakshi
1965,Teen Deviyan,Are yaar meri tum bhi ho gazab,,"Kishore, Asha",S D Burman,Majrooh Sultanpuri
1965,Teen Deviyan,Khwaab ho tum ya koi haqeeqat,Picture,Kishore,S D Burman,Majrooh Sultanpuri
1965,Teen Deviyan,Likha hai teri aankhon mein,Picture,"Kishore, Lata",S D Burman,Majrooh Sultanpuri
